2021-01-01,19
2021-01-02,19
2021-01-03,21
2021-01-04,21
2021-01-05,21
2021-01-06,21
2021-01-07,19
2021-01-08,20
2021-01-09,20
2021-01-10,19
2021-01-11,20
2021-01-12,19
2021-01-13,19
2021-01-14,20
2021-01-15,21
2021-01-16,19
2021-01-17,21
2021-01-18,20
2021-01-19,19
2021-01-20,20
2021-01-21,19
2021-01-22,21
2021-01-23,19
2021-01-24,19
2021-01-25,21
2021-01-26,20
2021-01-27,19
2021-01-28,20
2021-01-29,21
2021-01-30,20
2021-01-31,19
2021-02-01,20
2021-02-02,19
2021-02-03,20
2021-02-04,21
2021-02-05,20
2021-02-06,19
2021-02-07,21
2021-02-08,21
2021-02-09,21
